Time,Gaze
00:00:05.6699900,Brian (UnityEngine.CapsuleCollider)
00:00:05.6814767,Brian (UnityEngine.CapsuleCollider)
00:00:05.6925052,Brian (UnityEngine.CapsuleCollider)
00:00:05.7034379,Brian (UnityEngine.CapsuleCollider)
00:00:05.7150026,Brian (UnityEngine.CapsuleCollider)
00:00:05.7258477,Brian (UnityEngine.CapsuleCollider)
00:00:05.7367743,Brian (UnityEngine.CapsuleCollider)
00:00:05.7480907,Brian (UnityEngine.CapsuleCollider)
00:00:05.7590742,Brian (UnityEngine.CapsuleCollider)
00:00:05.7706621,Brian (UnityEngine.CapsuleCollider)
00:00:05.7815565,Brian (UnityEngine.CapsuleCollider)
00:00:05.7925752,Brian (UnityEngine.CapsuleCollider)
00:00:05.8040164,Brian (UnityEngine.CapsuleCollider)
00:00:05.8150069,Brian (UnityEngine.CapsuleCollider)
00:00:05.8259366,Brian (UnityEngine.CapsuleCollider)
00:00:05.8372905,Brian (UnityEngine.CapsuleCollider)
00:00:05.8484304,Brian (UnityEngine.CapsuleCollider)
00:00:05.8593894,Brian (UnityEngine.CapsuleCollider)
00:00:05.8707008,Brian (UnityEngine.CapsuleCollider)
00:00:05.8815493,Brian (UnityEngine.CapsuleCollider)
00:00:05.8927200,Brian (UnityEngine.CapsuleCollider)
00:00:05.9040091,Brian (UnityEngine.CapsuleCollider)
00:00:05.9148816,Brian (UnityEngine.CapsuleCollider)
00:00:05.9260761,Brian (UnityEngine.CapsuleCollider)
00:00:05.9370962,Brian (UnityEngine.CapsuleCollider)
00:00:05.9477698,Brian (UnityEngine.CapsuleCollider)
00:00:05.9591754,Brian (UnityEngine.CapsuleCollider)
00:00:05.9701806,Brian (UnityEngine.CapsuleCollider)
00:00:05.9811013,Brian (UnityEngine.CapsuleCollider)
00:00:05.9920647,Brian (UnityEngine.CapsuleCollider)
00:00:06.0035510,Brian (UnityEngine.CapsuleCollider)
00:00:06.0144370,Brian (UnityEngine.CapsuleCollider)
00:00:06.0254922,Brian (UnityEngine.CapsuleCollider)
00:00:06.0368232,Brian (UnityEngine.CapsuleCollider)
00:00:06.0479450,Brian (UnityEngine.CapsuleCollider)
00:00:06.0589181,Brian (UnityEngine.CapsuleCollider)
00:00:06.0704379,Brian (UnityEngine.CapsuleCollider)
00:00:06.0813225,Brian (UnityEngine.CapsuleCollider)
00:00:06.0922747,Brian (UnityEngine.CapsuleCollider)
00:00:06.1041682,Brian (UnityEngine.CapsuleCollider)
00:00:06.1146260,Brian (UnityEngine.CapsuleCollider)
00:00:06.1251986,Brian (UnityEngine.CapsuleCollider)
00:00:06.1364774,Brian (UnityEngine.CapsuleCollider)
00:00:06.1477521,Brian (UnityEngine.CapsuleCollider)
00:00:06.1585981,Brian (UnityEngine.CapsuleCollider)
00:00:06.1698456,Brian (UnityEngine.CapsuleCollider)
00:00:06.1808462,Brian (UnityEngine.CapsuleCollider)
00:00:06.1918418,Brian (UnityEngine.CapsuleCollider)
00:00:06.2029676,Brian (UnityEngine.CapsuleCollider)
00:00:06.2141183,Brian (UnityEngine.CapsuleCollider)
00:00:06.2251551,Brian (UnityEngine.CapsuleCollider)
00:00:06.2363506,Brian (UnityEngine.CapsuleCollider)
00:00:06.2474575,Brian (UnityEngine.CapsuleCollider)
00:00:06.2584951,Brian (UnityEngine.CapsuleCollider)
00:00:06.2695864,Brian (UnityEngine.CapsuleCollider)
00:00:06.2809274,Brian (UnityEngine.CapsuleCollider)
00:00:06.2918081,Brian (UnityEngine.CapsuleCollider)
00:00:06.3028020,Brian (UnityEngine.CapsuleCollider)
00:00:06.3142141,Brian (UnityEngine.CapsuleCollider)
00:00:06.3250838,Brian (UnityEngine.CapsuleCollider)
00:00:06.3360786,Brian (UnityEngine.CapsuleCollider)
00:00:06.3473330,Brian (UnityEngine.CapsuleCollider)
00:00:06.3582919,Brian (UnityEngine.CapsuleCollider)
00:00:06.3692851,Brian (UnityEngine.CapsuleCollider)
00:00:06.3812972,Brian (UnityEngine.CapsuleCollider)
00:00:06.3917472,Brian (UnityEngine.CapsuleCollider)
00:00:06.4027289,Brian (UnityEngine.CapsuleCollider)
00:00:06.4138956,Brian (UnityEngine.CapsuleCollider)
00:00:06.4253415,Brian (UnityEngine.CapsuleCollider)
00:00:06.4363917,Brian (UnityEngine.CapsuleCollider)
00:00:06.4474749,Brian (UnityEngine.CapsuleCollider)
00:00:06.4584643,Brian (UnityEngine.CapsuleCollider)
00:00:06.4700010,Brian (UnityEngine.CapsuleCollider)
00:00:06.4809268,Brian (UnityEngine.CapsuleCollider)
00:00:06.4920662,Brian (UnityEngine.CapsuleCollider)
00:00:06.5035460,Brian (UnityEngine.CapsuleCollider)
00:00:06.5145886,Brian (UnityEngine.CapsuleCollider)
00:00:06.5255403,Brian (UnityEngine.CapsuleCollider)
